Model,scenario,region,landType,riverBasin,Variable,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,series,run,model_run_date,script_run_date,comments
GCAM,REF,USA,Tundra,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-0.026284133,-0.048030767,-0.065384,-0.080532467,-0.0937607,-0.105314367,-0.092219233,-0.080793167,-0.070820933,-0.062115167,-0.054513433,-0.0478731,-0.042071333,-0.036999967,-0.032565317,-0.028686167,-0.025291347,-0.022319037,-0.019715263,-0.017433203,-0.0154319,-0.01367575,-0.01213377,-0.010778827,-0.009587417,-0.008538933,-0.00761552,-0.00680152,-0.006083293,-0.00544896,-0.004888143,-0.004391823,-0.003952043,-0.003561936,-0.003215458,-0.002907337,-0.002632964,-0.002388313,-0.002169856,-0.001974507,-0.001799567,-0.001642663,-0.001501716,-0.001374912,-0.001260648,-0.001157519,-0.00106429,-0.000979876,-0.00090332,-0.000833778,-0.00077051,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,Canada,UnmanagedForest,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-0.016475213,-0.02101715,-0.02509034,-0.02874311,-0.03201869,-0.034955947,-0.014985043,-0.01014794,-0.005582537,-0.0012786,0.002774567,-0.001533004,0.000526218,0.002494881,0.00437327,0.00616231,0.009398107,0.011295167,0.013084757,0.014771387,0.01635964,0.01721533,0.01850541,0.019720543,0.02086425,0.02193994,0.016857757,0.01673023,0.01663772,0.016575387,0.016538977,0.01641981,0.016406023,0.016409727,0.016428207,0.01645908,0.015965143,0.015922573,0.015894963,0.015880223,0.015876447,0.016270613,0.01635051,0.01643125,0.016512247,0.016592913,0.016063593,0.016039063,0.016022233,0.016012077,0.016007603,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,Canada,RootTuber,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-0.006408439,-0.01347346,-0.017263473,-0.020719013,-0.023869413,-0.026741733,-0.02155505,-0.0198297,-0.0182567,-0.01682252,-0.01551495,-0.014302347,-0.013204693,-0.01220395,-0.011291537,-0.010459643,-0.009577949,-0.008821516,-0.008131853,-0.0075031,-0.006929817,-0.006675027,-0.006339626,-0.006033863,-0.00575509,-0.005500913,-0.005127393,-0.004841412,-0.004580675,-0.00434295,-0.004126217,-0.00388597,-0.003683339,-0.003498594,-0.003330158,-0.003176595,-0.002992858,-0.002842169,-0.002704783,-0.002579526,-0.002465324,-0.002233055,-0.002070596,-0.001922485,-0.001787446,-0.001664327,-0.001495395,-0.001363187,-0.001242649,-0.001132754,-0.00103256,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,Canada,ProtectedUnmanagedForest,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-0.00292923,-0.0034709,-0.003954683,-0.004386653,-0.00477235,-0.00511665,-0.004920043,-0.004720907,-0.00452111,-0.004322303,-0.004125843,-0.003932793,-0.003743997,-0.003560198,-0.003381873,-0.003209422,-0.003043124,-0.002883159,-0.002729628,-0.002582562,-0.002441938,-0.002307694,-0.002179723,-0.002057891,-0.001942043,-0.001832002,-0.001727576,-0.001628572,-0.001534782,-0.001445998,-0.001362009,-0.001282607,-0.001207584,-0.001136733,-0.001069856,-0.001006753,-0.000947243,-0.000891136,-0.000838255,-0.000788432,-0.000741503,-0.000697312,-0.000655703,-0.000616539,-0.000579685,-0.000545006,-0.00051238,-0.00048169,-0.000452826,-0.000425682,-0.000400158,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,Canada,Corn,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-0.000708201,-0.000832431,-0.00087,-0.000904256,-0.000935494,-0.00096397,-0.000802756,-0.000764772,-0.000730143,-0.000698571,-0.000669786,-0.000722787,-0.000724962,-0.000726946,-0.000728756,-0.000730405,-0.000710162,-0.000704369,-0.000699092,-0.000694274,-0.000689887,-0.00069759,-0.000697802,-0.000697995,-0.000698171,-0.000698334,-0.000678191,-0.000671638,-0.000665664,-0.000660219,-0.000655255,-0.000656748,-0.000654607,-0.000652653,-0.000650874,-0.000649252,-0.000636263,-0.000631122,-0.000626435,-0.000622163,-0.000618267,-0.000627882,-0.000628966,-0.000629955,-0.000630857,-0.000631676,-0.000644831,-0.000649598,-0.000653947,-0.000657912,-0.000661527,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,Canada,UrbanLand,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,-1.20E-05,-1.49E-05,-1.75E-05,-1.99E-05,-2.21E-05,-2.41E-05,-2.00E-05,-1.82E-05,-1.66E-05,-1.51E-05,-1.38E-05,-1.26E-05,-1.15E-05,-1.05E-05,-9.54E-06,-8.69E-06,-7.93E-06,-7.23E-06,-6.59E-06,-6.01E-06,-5.48E-06,-4.99E-06,-4.55E-06,-4.15E-06,-3.78E-06,-3.45E-06,-3.15E-06,-2.87E-06,-2.61E-06,-2.38E-06,-2.17E-06,-1.98E-06,-1.81E-06,-1.65E-06,-1.50E-06,-1.37E-06,-1.25E-06,-1.14E-06,-1.04E-06,-9.46E-07,-8.63E-07,-7.86E-07,-7.17E-07,-6.54E-07,-5.96E-07,-5.43E-07,-4.95E-07,-4.52E-07,-4.12E-07,-3.75E-07,-3.42E-07,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,Canada,biomassGrass,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,0,0,0,0,0,0,-0.032488313,-0.063638564,-0.092532292,-0.118889881,-0.142738262,-0.155281384,-0.166048166,-0.175517624,-0.18397658,-0.191603656,-0.201555448,-0.210745036,-0.219162526,-0.226839464,-0.233826471,-0.238576411,-0.242816518,-0.246644356,-0.250121541,-0.253290256,-0.242936847,-0.23291286,-0.223589087,-0.215088022,-0.207411126,-0.201939741,-0.197117198,-0.192825026,-0.188979966,-0.185519299,-0.182310615,-0.179406,-0.176771708,-0.174380598,-0.172207727,-0.167805121,-0.163680915,-0.159886456,-0.156428344,-0.153290441,-0.148003127,-0.14308371,-0.138576201,-0.134479132,-0.130767927,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,Canada,biomassTree,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,0,0,0,0,0,0,-0.004369176,-0.008558606,-0.012444572,-0.015989422,-0.019196789,-0.021007853,-0.022574931,-0.023958946,-0.025197309,-0.026314228,-0.02788406,-0.029337177,-0.030668666,-0.031882452,-0.032986054,-0.033753014,-0.034437777,-0.035055418,-0.035615803,-0.036125937,-0.034347403,-0.032624885,-0.031022162,-0.029560543,-0.02824043,-0.027199079,-0.026273044,-0.025445015,-0.024701677,-0.02403221,-0.023396598,-0.022820259,-0.022297618,-0.02182343,-0.021392926,-0.020751773,-0.020156507,-0.01961083,-0.019113827,-0.018662599,-0.017976697,-0.017340092,-0.016757186,-0.016227024,-0.015746489,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,Canada,FodderGrass,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
GCAM,REF,USA,biomassGrass,MissouriR,Emissions|CO2|LUC|Total,Mt CO2eq/yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,moiraiSG17_moiraiVeg,2022_09_28,2022_09_30,GCAM 5.1.2
